Opportunity Owner,Segment,Type,Source,Inbound Type,Current Stage (as of data pull),Base Annual Contract Value,Created Date,SQL Datestamp,SAL Datestamp,SQO Datestamp,Close Date,Funnel Stage Reached
Gabby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,,1/26/2024 0:00:00,1/26/2024 12:38:00,,,7/31/2024 0:00:00,1 - SQL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Qualifying,,2/9/2024 0:00:00,2/9/2024 11:17:00,2/20/2024 13:06:00,,7/31/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,AE Outbound,Outbound,Customer Evaluating,"28,800.00",2/12/2024 0:00:00,2/12/2024 11:00:00,2/12/2024 11:00:00,"2/22/2024, 8:36 AM",7/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,AE Outbound,Outbound,Customer Evaluating,"62,400.00",2/14/2024 0:00:00,2/14/2024 13:24:00,2/14/2024 13:24:00,"3/5/2024, 8:18 AM",7/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,AE Outbound,Outbound,Qualifying,,2/20/2024 0:00:00,2/20/2024 8:17:00,2/20/2024 8:17:00,,7/31/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"48,000.00",3/11/2024 0:00:00,3/11/2024 14:47:00,3/12/2024 11:05:00,"3/28/2024, 10:32 AM",7/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"144,000.00",3/13/2024 0:00:00,3/13/2024 14:08:00,3/27/2024 14:18:00,"3/27/2024, 2:19 PM",7/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"216,000.00",3/22/2024 0:00:00,3/22/2024 8:08:00,3/27/2024 14:14:00,"3/27/2024, 2:15 PM",7/31/2024 0:00:00,3 - SQO
Earl,Mid-Market,New,AE Outbound,Outbound,Customer Evaluating,"124,800.00",2/13/2024 0:00:00,2/13/2024 11:54:00,2/13/2024 11:54:00,"2/20/2024, 2:42 PM",7/31/2024 0:00:00,3 - SQO
Gabby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,"24,081.60",9/8/2023 0:00:00,9/8/2023 11:31:00,9/18/2023 6:28:00,"9/21/2023, 7:09 AM",7/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,AE Outbound,Outbound,Pricing and Negotiating,"720,000.00",8/4/2023 0:00:00,8/4/2023 8:46:00,8/4/2023 8:46:00,"12/3/2023, 12:00 PM",7/1/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,12/13/2023 0:00:00,12/13/2023 7:41:00,12/13/2023 7:41:00,,7/1/2024 0:00:00,2 - SAL
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"144,000.00",11/27/2023 0:00:00,11/27/2023 11:30:00,12/6/2023 8:55:00,"1/8/2024, 5:25 PM",7/1/2024 0:00:00,3 - SQO
Andy,Mid-Market,New,AE Outbound,Outbound,Customer Evaluating,"48,000.00",12/18/2023 0:00:00,12/18/2023 9:42:00,12/18/2023 9:42:00,"1/8/2024, 5:29 PM",7/1/2024 0:00:00,3 - SQO
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"48,000.00",1/10/2024 0:00:00,1/10/2024 12:12:00,1/24/2024 10:24:00,"3/29/2024, 12:06 PM",7/1/2024 0:00:00,3 - SQO
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"144,000.00",1/26/2024 0:00:00,1/26/2024 14:23:00,3/29/2024 12:07:00,"3/29/2024, 12:10 PM",7/1/2024 0:00:00,3 - SQO
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"84,000.00",2/28/2024 0:00:00,2/28/2024 7:50:00,2/28/2024 7:50:00,"2/29/2024, 3:35 PM",7/1/2024 0:00:00,3 - SQO
Andy,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"72,000.00",3/4/2024 0:00:00,3/4/2024 11:28:00,3/29/2024 12:12:00,"3/29/2024, 12:13 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Pricing and Negotiating,,7/19/2023 0:00:00,7/19/2023 13:42:00,7/24/2023 10:13:00,"7/25/2023, 3:32 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,AE Outbound,Outbound,Pricing and Negotiating,,9/6/2023 0:00:00,9/6/2023 9:16:00,9/6/2023 9:16:00,"9/28/2023, 8:21 AM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"240,000.00",11/7/2023 0:00:00,11/7/2023 10:41:00,11/14/2023 7:04:00,"1/10/2024, 1:32 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,,11/16/2023 0:00:00,11/16/2023 13:12:00,11/21/2023 12:06:00,"11/21/2023, 12:06 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,Expansion,Marketing , Website Direct,Closed Lost,"91,200.00",11/17/2023 0:00:00,,,,7/1/2024 0:00:00,
Bobby,Mid-Market,New,Marketing , Event,Closed Lost,"300,000.00",11/17/2023 0:00:00,11/17/2023 13:09:00,11/17/2023 13:09:00,"12/29/2023, 4:06 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,"24,000.00",1/4/2024 0:00:00,1/4/2024 7:28:00,3/19/2024 8:24:00,"3/19/2024, 8:25 AM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Pricing and Negotiating,"240,000.00",1/8/2024 0:00:00,1/8/2024 9:28:00,1/18/2024 11:43:00,"1/18/2024, 11:43 AM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Closed Lost,"24,000.00",1/29/2024 0:00:00,1/29/2024 11:26:00,3/6/2024 12:05:00,"3/6/2024, 12:06 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"42,000.00",2/14/2024 0:00:00,2/14/2024 8:26:00,2/29/2024 11:09:00,"3/7/2024, 3:24 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"14,400.00",2/29/2024 0:00:00,2/29/2024 8:06:00,3/26/2024 6:24:00,"3/26/2024, 6:25 AM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,AE Outbound,Outbound,Qualifying,,3/5/2024 0:00:00,3/5/2024 15:08:00,3/5/2024 15:08:00,,7/1/2024 0:00:00,2 - SAL
Bobby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"24,000.00",3/6/2024 0:00:00,3/6/2024 13:04:00,3/29/2024 8:44:00,"3/29/2024, 8:47 AM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,SDR Outbound,Outbound,Customer Evaluating,"72,000.00",3/7/2024 0:00:00,3/7/2024 8:05:00,3/26/2024 12:41:00,"3/26/2024, 12:42 PM",7/1/2024 0:00:00,3 - SQO
Bobby,Mid-Market,New,AE Outbound,Outbound,Qualifying,,3/19/2024 0:00:00,3/19/2024 11:56:00,3/19/2024 11:56:00,,7/1/2024 0:00:00,2 - SAL
Bobby,Mid-Market,New,Marketing , Website Direct,Qualifying,,3/28/2024 0:00:00,3/28/2024 5:51:00,3/28/2024 5:51:00,,7/1/2024 0:00:00,2 - SAL
Gabby,Mid-Market,New,SDR Outbound,Outbound,Qualifying,,1/4/2024 0:00:00,1/4/2024 8:44:00,1/4/2024 8:44:00,,7/1/2024 0:00:00,2 - SAL
Katie,Enterprise,Expansion,AE Outbound,Outbound,Closed Lost,"216,000.00",10/10/2023 0:00:00,,,,6/30/2024 0:00:00,
Katie,Enterprise,New,SDR Outbound,Outbound,Pricing and Negotiating,"39,600.00",10/26/2023 0:00:00,10/26/2023 9:56:00,11/22/2023 10:59:00,,6/30/2024 0:00:00,2 - SAL
Katie,Enterprise,New,SDR Outbound,Outbound,Closed Lost,"13,800.00",1/12/2024 0:00:00,1/12/2024 9:43:00,1/16/2024 8:44:00,"1/16/2024, 8:45 AM",6/30/2024 0:00:00,3 - SQO
Katie,Enterprise,New,SDR Outbound,Outbound,Prospecting,,1/12/2024 0:00:00,1/12/2024 14:09:00,,,6/30/2024 0:00:00,1 - SQL
Katie,Enterprise,New,SDR Outbound,Outbound,Prospecting,,1/16/2024 0:00:00,1/16/2024 8:00:00,,,6/30/2024 0:00:00,1 - SQL
Katie,Enterprise,New,SDR Outbound,Outbound,Closed Lost,,1/24/2024 0:00:00,1/24/2024 6:45:00,,,6/30/2024 0:00:00,1 - SQL
Katie,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/21/2024 0:00:00,2/21/2024 7:08:00,2/21/2024 7:08:00,,6/30/2024 0:00:00,2 - SAL
Katie,Enterprise,New,SDR Outbound,Outbound,Prospecting,,2/23/2024 0:00:00,2/23/2024 8:22:00,,,6/30/2024 0:00:00,1 - SQL
Katie,Enterprise,New,Marketing , Website Direct,Customer Evaluating,"960,000.00",2/29/2024 0:00:00,2/29/2024 10:48:00,2/29/2024 10:48:00,"3/11/2024, 11:40 AM",6/30/2024 0:00:00,3 - SQO
Katie,Enterprise,New,SDR Outbound,Outbound,Qualifying,,2/29/2024 0:00:00,2/29/2024 11:38:00,3/12/2024 10:57:00,,6/30/2024 0:00:00,2 - SAL
Katie,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/12/2024 0:00:00,,,,6/30/2024 0:00:00,
Katie,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"96,000.00",3/18/2024 0:00:00,3/18/2024 6:16:00,3/29/2024 9:04:00,"3/29/2024, 9:08 AM",6/30/2024 0:00:00,3 - SQO
Katie,Enterprise,New,SDR Outbound,Outbound,Pricing and Negotiating,"720,000.00",3/25/2024 0:00:00,3/25/2024 14:02:00,3/28/2024 11:35:00,"3/28/2024, 1:04 PM",6/30/2024 0:00:00,3 - SQO
Katie,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"120,000.00",3/26/2024 0:00:00,3/26/2024 8:52:00,4/5/2024 14:42:00,"4/5/2024, 2:44 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,7/7/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,AE Outbound,Outbound,Customer Evaluating,"12,600.00",10/17/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,Marketing , Event,Pricing and Negotiating,"24,000.00",11/17/2023 0:00:00,11/17/2023 10:10:00,11/17/2023 10:10:00,"1/6/2024, 1:04 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Closed Lost,,11/22/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,AE Outbound,Outbound,Customer Evaluating,"180,000.00",11/27/2023 0:00:00,11/27/2023 12:40:00,11/27/2023 12:40:00,"12/12/2023, 1:20 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,New,AE Outbound,Outbound,Customer Evaluating,"18,000.00",11/29/2023 0:00:00,11/29/2023 8:10:00,11/29/2023 8:10:00,"1/16/2024, 2:07 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"9,504.00",11/29/2023 0:00:00,11/29/2023 11:45:00,12/12/2023 13:23:00,"1/8/2024, 10:00 AM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,Expansion,AE Outbound,Outbound,Closed Lost,,12/4/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"50,400.00",12/7/2023 0:00:00,12/7/2023 7:09:00,12/20/2023 7:36:00,"1/10/2024, 1:40 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,Expansion,AE Outbound,Outbound,Expansion Opportunity Identified,,12/8/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Closed Lost,,12/8/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,AE Outbound,Outbound,Closed Lost,"22,800.00",12/22/2023 0:00:00,12/22/2023 12:23:00,12/22/2023 12:23:00,"1/6/2024, 1:27 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,Expansion,Marketing , Website Direct,Expansion Opportunity Identified,,12/25/2023 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,SDR Outbound,Outbound,Prospecting,,1/10/2024 0:00:00,1/10/2024 10:21:00,,,6/30/2024 0:00:00,1 - SQL
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Customer Evaluating,"3,000.00",1/10/2024 0:00:00,1/10/2024 12:12:00,3/25/2024 8:48:00,"3/29/2024, 11:53 AM",6/30/2024 0:00:00,
Henry,Enterprise,New,AE Outbound,Outbound,Qualifying,,1/11/2024 0:00:00,1/11/2024 6:55:00,1/11/2024 6:55:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,Marketing , Website Direct,Qualifying,,1/18/2024 0:00:00,1/18/2024 9:29:00,1/18/2024 9:29:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,AE Outbound,Outbound,Qualifying,,1/18/2024 0:00:00,1/18/2024 10:54:00,1/18/2024 10:54:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,AE Outbound,Outbound,Customer Evaluating,"6,000.00",1/25/2024 0:00:00,1/25/2024 17:53:00,1/25/2024 17:53:00,"2/8/2024, 11:27 AM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,New,AE Outbound,Outbound,Qualifying,,1/29/2024 0:00:00,1/29/2024 0:49:00,1/29/2024 0:49:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/1/2024 0:00:00,2/1/2024 21:08:00,2/1/2024 21:08:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/5/2024 0:00:00,2/5/2024 20:43:00,2/5/2024 20:43:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,AE Outbound,Outbound,Customer Evaluating,"21,000.00",2/15/2024 0:00:00,2/15/2024 19:18:00,2/15/2024 19:18:00,"2/26/2024, 6:13 PM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,New,AE Outbound,Outbound,Qualifying,"36,000.00",2/20/2024 0:00:00,2/20/2024 13:29:00,2/20/2024 13:29:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,New,Marketing , Website Direct,Qualifying,,2/21/2024 0:00:00,2/21/2024 9:22:00,2/21/2024 9:22:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,Expansion,AE Outbound,Outbound,Closed Lost,,3/5/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,SDR Outbound,Outbound,Prospecting,,3/8/2024 0:00:00,3/8/2024 7:35:00,,,6/30/2024 0:00:00,1 - SQL
Henry,Enterprise,New,SDR Outbound,Outbound,Prospecting,,3/15/2024 0:00:00,3/15/2024 7:33:00,,,6/30/2024 0:00:00,1 - SQL
Henry,Enterprise,New,SDR Outbound,Outbound,Prospecting,,3/19/2024 0:00:00,3/19/2024 12:25:00,,,6/30/2024 0:00:00,1 - SQL
Henry,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"3,000.00",3/20/2024 0:00:00,3/20/2024 10:00:00,3/29/2024 11:21:00,"3/29/2024, 11:22 AM",6/30/2024 0:00:00,3 - SQO
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/20/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/20/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/21/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,New,SDR Outbound,Outbound,Prospecting,,3/21/2024 0:00:00,3/21/2024 13:34:00,,,6/30/2024 0:00:00,1 - SQL
Henry,Enterprise,New,SDR Outbound,Outbound,Qualifying,,3/25/2024 0:00:00,3/25/2024 6:59:00,4/2/2024 7:26:00,,6/30/2024 0:00:00,2 - SAL
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/25/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/25/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/27/2024 0:00:00,,,,6/30/2024 0:00:00,
Henry,Enterprise,Expansion,SDR Outbound,Outbound,Expansion Opportunity Identified,,3/27/2024 0:00:00,,,,6/30/2024 0:00:00,
Cindy,Enterprise,New,Marketing , Website Direct,Closed Lost,"270,000.00",9/21/2023 0:00:00,9/21/2023 7:15:00,9/25/2023 13:10:00,"9/25/2023, 1:10 PM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,AE Outbound,Outbound,Closed Lost,,1/2/2024 0:00:00,1/2/2024 11:03:00,1/2/2024 11:03:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,1/10/2024 0:00:00,1/10/2024 6:05:00,1/10/2024 6:05:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,1/16/2024 0:00:00,1/16/2024 15:41:00,1/16/2024 15:41:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,SDR Outbound,Outbound,Prospecting,,1/17/2024 0:00:00,1/17/2024 13:35:00,,,6/30/2024 0:00:00,1 - SQL
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"720,000.00",1/18/2024 0:00:00,1/18/2024 10:57:00,3/25/2024 8:47:00,"3/25/2024, 8:47 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,1/24/2024 0:00:00,1/24/2024 7:40:00,1/24/2024 7:40:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,SDR Outbound,Outbound,Prospecting,,1/25/2024 0:00:00,1/25/2024 8:44:00,,,6/30/2024 0:00:00,1 - SQL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/5/2024 0:00:00,2/5/2024 8:23:00,2/5/2024 8:23:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/6/2024 0:00:00,2/6/2024 6:07:00,2/6/2024 6:07:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/9/2024 0:00:00,2/9/2024 13:27:00,2/9/2024 13:27:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/12/2024 0:00:00,2/12/2024 8:48:00,2/12/2024 8:48:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"48,000.00",2/20/2024 0:00:00,2/20/2024 8:32:00,3/25/2024 6:34:00,"3/25/2024, 6:35 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/20/2024 0:00:00,2/20/2024 16:25:00,2/20/2024 16:25:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,Expansion,Marketing , Event,Expansion Opportunity Identified,"285,000.00",2/21/2024 0:00:00,,,,6/30/2024 0:00:00,
Cindy,Enterprise,Expansion,Marketing , Event,Expansion Opportunity Identified,"225,000.00",2/21/2024 0:00:00,,,,6/30/2024 0:00:00,
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/26/2024 0:00:00,2/26/2024 15:26:00,2/26/2024 15:26:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/27/2024 0:00:00,2/27/2024 7:29:00,2/27/2024 7:29:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/27/2024 0:00:00,2/27/2024 6:48:00,2/27/2024 6:48:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,"194,400.00",2/27/2024 0:00:00,2/27/2024 7:26:00,2/27/2024 7:26:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"480,000.00",2/29/2024 0:00:00,2/29/2024 6:24:00,3/12/2024 11:10:00,"3/12/2024, 11:11 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,2/29/2024 0:00:00,2/29/2024 7:17:00,2/29/2024 7:17:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"24,000.00",2/29/2024 0:00:00,2/29/2024 8:14:00,4/11/2024 10:59:00,"4/11/2024, 11:55 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"54,000.00",2/29/2024 0:00:00,2/29/2024 13:35:00,3/5/2024 10:31:00,"3/5/2024, 10:32 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,Marketing , Website Direct,Pricing and Negotiating,"58,536.00",3/8/2024 0:00:00,3/8/2024 7:45:00,3/8/2024 7:45:00,"3/25/2024, 12:39 PM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"36,000.00",3/11/2024 0:00:00,3/11/2024 7:29:00,3/31/2024 6:43:00,"3/31/2024, 6:43 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,SDR Outbound,Outbound,Prospecting,,3/12/2024 0:00:00,3/12/2024 8:21:00,,,6/30/2024 0:00:00,1 - SQL
Cindy,Enterprise,New,AE Outbound,Outbound,Qualifying,,3/13/2024 0:00:00,3/13/2024 7:57:00,3/13/2024 7:57:00,,6/30/2024 0:00:00,2 - SAL
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"240,000.00",3/19/2024 0:00:00,3/19/2024 11:19:00,3/25/2024 6:33:00,"3/25/2024, 6:34 AM",6/30/2024 0:00:00,3 - SQO
Cindy,Enterprise,New,SDR Outbound,Outbound,Customer Evaluating,"48,000.00",3/19/2024 0:00:00,3/19/2024 12:12:00,4/8/2024 7:10:00,"4/8/2024, 7:10 AM",6/30/2024 0:00:00,3 - SQO
